type,length,weight,distance,price
0,0.6230971458533778,14.869967908809437,32.26908385023653,4750314.189860463
1,0.5660769347239646,4.50572791637552,23.505330223175463,4515453.509061307
1,0.34661547750400407,7.586154193027838,48.2604277183331,9299080.640399363
1,0.950173338142083,13.602332100298547,11.729944098227671,2285162.425261837
0,0.7672738247120804,10.159697545965118,29.804964383948093,4343184.939522298
0,1.3119813892536052,15.032849734062982,35.310290734520905,5167354.151318046
0,0.14495341267488154,19.262950123234333,41.4526599779237,6075242.4596310975
1,1.0014150985771768,3.2143870665887526,20.941580490972346,4173965.8369388343
1,1.1681284299161856,14.481786611563157,34.65917347521659,6954135.569678131
1,1.1632811968636299,5.376538957010176,15.856872097829855,3117177.691119666
0,1.340503553933735,8.875057820743816,22.338328525729192,3491842.3652667385
1,1.1206472399612917,1.6243917901076568,44.88572942896656,9027609.816759294
1,1.3989340863067747,3.58224026356128,47.54547285721676,9787583.472640999
0,0.565719239749248,7.075768491929094,36.222049999435974,5667496.934259749
0,0.8044931834521603,7.497730300471714,19.343242648033065,2807368.0879768343
0,0.11971152859604695,18.09211911277982,41.18283170875854,6141850.575712891
0,0.1097406222246077,15.094445276063787,2.267487004545589,345348.19753078953
1,0.4361772686321278,19.47147639555378,6.034549616431632,1208963.9768408844
0,0.24113007599471936,12.38235869636957,33.4073130823927,4770892.064485852
0,0.4642959151100551,5.592560909735042,15.271180188232814,2365940.6682377406
1,0.34786061233975635,7.225445568511215,47.61792470162341,9160929.28894056
0,0.13992803477410753,7.0768825425473745,22.366969992522932,3524995.2580332938
0,1.3730258049684692,7.20339222560178,22.038876199069673,3399766.9134879084
0,0.11151238394444814,13.786319289124497,34.22589599935563,5181908.929852966
0,1.1305150020719197,11.085350633717908,38.610859553003294,5596941.021392736
1,0.31300704168732313,8.323059383646243,24.30237816813169,4876606.709762613
0,1.37712147079944,3.8327056058456153,11.486044183874483,1683618.4670259608
1,1.3499143154258402,1.4206440959007722,38.89212349355546,7588472.577390266
1,1.0154616049169602,5.157858874166159,16.697212468807752,3455863.641039523
0,1.0411278097208472,3.0419566754049443,9.580427695399022,1421414.8169285017
1,0.10747479875756397,15.923455586192548,31.950369306325648,6374537.943728833
0,1.478820192559043,3.1374611984638223,5.432229682527169,844402.9333356082
0,1.3289656450061402,14.760336508829887,48.596281079216695,6996040.473442266
1,1.353148716022129,8.32751510574557,31.98746595619471,6467797.158515406
1,1.0229423518712206,2.3941894051317436,49.30888052516603,9942354.51787943
1,0.5827017001163511,16.44187093920013,17.605777750453168,3511719.6902809055
0,1.3511081087266732,12.012980834495654,48.5890528983295,7534914.066439273
0,0.5081236994116692,5.479468744407888,8.132550138702555,1276770.9797361856
1,0.887796160679084,17.99894231232069,2.994043845004394,615554.3192372369
0,0.23962336128143535,1.8599079635404778,2.6162189622755254,391637.7864497001
0,1.3907378821858503,4.834572555757495,23.778648159362128,3569951.0995707894
0,0.29707864087969865,15.28889162831136,5.067205676451144,784855.0935720305
0,0.4148555280225702,14.478180675887893,26.096226324212484,3987580.790065371
1,0.8813878213795009,6.496162180765083,17.047524671936124,3322178.4436553814
0,1.1697302002981742,2.178472631702879,17.445820631231665,2503791.7760264943
1,0.9670918283108184,17.30348337227393,32.14484083071332,6736883.604389574
0,0.4249874779202186,6.9602551233281496,8.991802301429388,1319941.119740012
1,0.10132025953848647,4.718554883637039,38.56111514664682,7823998.560690036
1,1.160010812430415,10.805174624858564,29.5195150691531,6110167.792854175
0,1.4792902562755312,18.2943167863665,45.832286813528036,6746500.8916188665
1,1.2338783684285266,1.8273849790241314,18.877192034608647,3829673.1811537957
1,0.7442892654192614,15.550277672586867,49.15303461128915,9460804.719261732
1,1.3652741659587493,11.87699133083547,29.215554688987137,6131561.65525403
1,0.6737867423656899,9.083533214484522,48.696695853189155,9318340.729584457
1,0.8349077179408545,15.13752843799614,2.325972048308651,478192.01609970856
1,0.7679816743539565,19.350664064391015,36.67083979820701,7381364.531250374
0,0.7266734217317349,5.3549180120911295,41.014454690344074,6333632.714103482
0,1.185267077011468,3.7292999363702726,3.605491047147891,522127.3946747846
0,0.8374764701772888,18.344753159231242,29.369513536796042,4388468.498746629
0,0.5434039708353025,13.71010847168877,40.29517238588297,5929933.760830763
0,0.4614214347218696,9.321734409677354,28.490897535930564,4197868.126729905
0,0.15284624375440675,11.891931835021378,4.126865929867865,642399.4270294324
